"species","genus","family"
"Santolina ericoides","Santolina","Asteraceae"
"Saponaria bellidifolia","Saponaria","Caryophyllaceae"
"Saponaria caespitosa","Saponaria","Caryophyllaceae"
"Saponaria lutea","Saponaria","Caryophyllaceae"
"Saponaria ocymoides","Saponaria","Caryophyllaceae"
"Saponaria officinalis","Saponaria","Caryophyllaceae"
"Sarcocapnos enneaphylla","Sarcocapnos","Papaveraceae"
"Salicornia fruticosa","Salicornia","Amaranthaceae"
"Salicornia perennis","Salicornia","Amaranthaceae"
"Sarracenia purpurea","Sarracenia","Sarraceniaceae"
"Sasa palmata","Sasa","Poaceae"
"Satureja hortensis","Satureja","Lamiaceae"
"Satureja montana","Satureja","Lamiaceae"
"Saussurea alpina","Saussurea","Asteraceae"
"Saussurea depressa","Saussurea","Asteraceae"
"Saussurea discolor","Saussurea","Asteraceae"
"Saxifraga adscendens","Saxifraga","Saxifragaceae"
"Saxifraga aizoides","Saxifraga","Saxifragaceae"
"Saxifraga androsacea","Saxifraga","Saxifragaceae"
"Saxifraga aquatica","Saxifraga","Saxifragaceae"
"Saxifraga aretioides","Saxifraga","Saxifragaceae"
"Saxifraga aspera","Saxifraga","Saxifragaceae"
"Saxifraga biflora","Saxifraga","Saxifragaceae"
"Saxifraga bryoides","Saxifraga","Saxifragaceae"
"Saxifraga bulbifera","Saxifraga","Saxifragaceae"
"Saxifraga caesia","Saxifraga","Saxifragaceae"
"Saxifraga callosa","Saxifraga","Saxifragaceae"
"Saxifraga cebennensis","Saxifraga","Saxifragaceae"
"Saxifraga cervicornis","Saxifraga","Saxifragaceae"
"Saxifraga cochlearis","Saxifraga","Saxifragaceae"
"Saxifraga corsica","Saxifraga","Saxifragaceae"
"Saxifraga cotyledon","Saxifraga","Saxifragaceae"
"Saxifraga cuneifolia","Saxifraga","Saxifragaceae"
"Saxifraga delphinensis","Saxifraga","Saxifragaceae"
"Saxifraga diapensioides","Saxifraga","Saxifragaceae"
"Saxifraga exarata","Saxifraga","Saxifragaceae"
"Saxifraga florulenta","Saxifraga","Saxifragaceae"
"Saxifraga fragilis","Saxifraga","Saxifragaceae"
"Saxifraga fragosoi","Saxifraga","Saxifragaceae"
"Saxifraga geranioides","Saxifraga","Saxifragaceae"
"Saxifraga giziana","Saxifraga","Saxifragaceae"
"Saxifraga granulata","Saxifraga","Saxifragaceae"
"Saxifraga hariotii","Saxifraga","Saxifragaceae"
"Saxifraga hirculus","Saxifraga","Saxifragaceae"
"Saxifraga hirsuta","Saxifraga","Saxifragaceae"
"Saxifraga intricata","Saxifraga","Saxifragaceae"
"Saxifraga iratiana","Saxifraga","Saxifragaceae"
"Saxifraga lamottei","Saxifraga","Saxifragaceae"
"Saxifraga lantoscana","Saxifraga","Saxifragaceae"
"Saxifraga longifolia","Saxifraga","Saxifragaceae"
"Saxifraga media","Saxifraga","Saxifragaceae"
"Saxifraga moschata","Saxifraga","Saxifragaceae"
"Saxifraga muscoides","Saxifraga","Saxifragaceae"
"Saxifraga mutata","Saxifraga","Saxifragaceae"
"Saxifraga oppositifolia","Saxifraga","Saxifragaceae"
"Saxifraga paniculata","Saxifraga","Saxifragaceae"
"Saxifraga pedemontana","Saxifraga","Saxifragaceae"
"Saxifraga pentadactylis","Saxifraga","Saxifragaceae"
"Saxifraga praetermissa","Saxifraga","Saxifragaceae"
"Saxifraga prostii","Saxifraga","Saxifragaceae"
"Saxifraga pubescens","Saxifraga","Saxifragaceae"
"Saxifraga retusa","Saxifraga","Saxifragaceae"
"Saxifraga rosacea","Saxifraga","Saxifragaceae"
"Saxifraga rotundifolia","Saxifraga","Saxifragaceae"
"Saxifraga seguieri","Saxifraga","Saxifragaceae"
"Saxifraga tridactylites","Saxifraga","Saxifragaceae"
"Saxifraga umbrosa","Saxifraga","Saxifragaceae"
"Saxifraga valdensis","Saxifraga","Saxifragaceae"
"Scabiosa atropurpurea","Scabiosa","Caprifoliaceae"
"Scabiosa canescens","Scabiosa","Caprifoliaceae"
"Scabiosa cinerea","Scabiosa","Caprifoliaceae"
"Scabiosa columbaria","Scabiosa","Caprifoliaceae"
"Scabiosa corsica","Scabiosa","Caprifoliaceae"
"Scabiosa lucida","Scabiosa","Caprifoliaceae"
"Scabiosa ochroleuca","Scabiosa","Caprifoliaceae"
"Scabiosa triandra","Scabiosa","Caprifoliaceae"
"Scandix australis","Scandix","Apiaceae"
"Scandix balansae","Scandix","Apiaceae"
"Scandix pecten-veneris","Scandix","Apiaceae"
"Scandix stellata","Scandix","Apiaceae"
"Sceptridium multifidum","Sceptridium","Ophioglossaceae"
"Schedonorus arundinaceus","Schedonorus","Poaceae"
"Schedonorus giganteus","Schedonorus","Poaceae"
"Schedonorus interruptus","Schedonorus","Poaceae"
"Schedonorus pratensis","Schedonorus","Poaceae"
"Schenkia spicata","Schenkia","Gentianaceae"
"Scheuchzeria palustris","Scheuchzeria","Scheuchzeriaceae"
"Schinus molle","Schinus","Anacardiaceae"
"Schismus barbatus","Schismus","Poaceae"
"Schkuhria pinnata","Schkuhria","Asteraceae"
"Schmidtia kalahariensis","Schmidtia","Poaceae"
"Schoenoplectus lacustris","Schoenoplectus","Cyperaceae"
"Schoenoplectus litoralis","Schoenoplectus","Cyperaceae"
"Schoenoplectiella mucronata","Schoenoplectiella","Cyperaceae"
"Schoenoplectus pungens","Schoenoplectus","Cyperaceae"
"Schoenoplectiella supina","Schoenoplectiella","Cyperaceae"
"Schoenoplectus tabernaemontani","Schoenoplectus","Cyperaceae"
"Schoenoplectus triqueter","Schoenoplectus","Cyperaceae"
"Schoenus ferrugineus","Schoenus","Cyperaceae"
"Schoenus nigricans","Schoenus","Cyperaceae"
"Scilla bifolia","Scilla","Asparagaceae"
"Scirpoides holoschoenus","Scirpoides","Cyperaceae"
"Scirpus atrovirens","Scirpus","Cyperaceae"
"Scirpus georgianus","Scirpus","Cyperaceae"
"Scirpus hattorianus","Scirpus","Cyperaceae"
"Scirpus pendulus","Scirpus","Cyperaceae"
"Scirpus radicans","Scirpus","Cyperaceae"
"Scirpus sylvaticus","Scirpus","Cyperaceae"
"Scleranthus annuus","Scleranthus","Caryophyllaceae"
"Scleranthus perennis","Scleranthus","Caryophyllaceae"
"Scleranthus uncinatus","Scleranthus","Caryophyllaceae"
"Sclerochloa dura","Sclerochloa","Poaceae"
"Scolymus grandiflorus","Scolymus","Asteraceae"
"Scolymus hispanicus","Scolymus","Asteraceae"
"Scolymus maculatus","Scolymus","Asteraceae"
"Scorpiurus muricatus","Scorpiurus","Fabaceae"
"Scorpiurus subvillosus","Scorpiurus","Fabaceae"
"Scorpiurus sulcatus","Scorpiurus","Fabaceae"
"Scorpiurus vermiculatus","Scorpiurus","Fabaceae"
"Scorzonera aristata","Scorzonera","Asteraceae"
"Scorzonera austriaca","Scorzonera","Asteraceae"
"Scorzonera hirsuta","Scorzonera","Asteraceae"
"Scorzonera hispanica","Scorzonera","Asteraceae"
"Scorzonera humilis","Scorzonera","Asteraceae"
"Scorzonera parviflora","Scorzonera","Asteraceae"
"Scorzonera undulata","Scorzonera","Asteraceae"
"Scorzoneroides autumnalis","Scorzoneroides","Asteraceae"
"Scorzoneroides duboisii","Scorzoneroides","Asteraceae"
"Scorzoneroides montana","Scorzoneroides","Asteraceae"
"Scorzoneroides pyrenaica","Scorzoneroides","Asteraceae"
"Scrophularia alpestris","Scrophularia","Scrophulariaceae"
"Scrophularia auriculata","Scrophularia","Scrophulariaceae"
"Scrophularia canina","Scrophularia","Scrophulariaceae"
"Scrophularia nodosa","Scrophularia","Scrophulariaceae"
"Scrophularia oblongifolia","Scrophularia","Scrophulariaceae"
"Scrophularia peregrina","Scrophularia","Scrophulariaceae"
"Scrophularia provincialis","Scrophularia","Scrophulariaceae"
"Scrophularia pyrenaica","Scrophularia","Scrophulariaceae"
"Scrophularia scorodonia","Scrophularia","Scrophulariaceae"
"Scrophularia trifoliata","Scrophularia","Scrophulariaceae"
"Scrophularia vernalis","Scrophularia","Scrophulariaceae"
"Scutellaria albida","Scutellaria","Lamiaceae"
"Scutellaria alpina","Scutellaria","Lamiaceae"
"Scutellaria altissima","Scutellaria","Lamiaceae"
"Scutellaria columnae","Scutellaria","Lamiaceae"
"Scutellaria galericulata","Scutellaria","Lamiaceae"
"Scutellaria hastifolia","Scutellaria","Lamiaceae"
"Scutellaria minor","Scutellaria","Lamiaceae"
"Secale cereale","Secale","Poaceae"
"Secale strictum","Secale","Poaceae"
"Sedum acre","Sedum","Crassulaceae"
"Sedum album","Sedum","Crassulaceae"
"Sedum alpestre","Sedum","Crassulaceae"
"Petrosedum amplexicaule","Petrosedum","Crassulaceae"
"Sedum andegavense","Sedum","Crassulaceae"
"Sedum anglicum","Sedum","Crassulaceae"
"Sedum annuum","Sedum","Crassulaceae"
"Sedum atratum","Sedum","Crassulaceae"
"Sedum brevifolium","Sedum","Crassulaceae"
"Sedum caeruleum","Sedum","Crassulaceae"
"Sedum cespitosum","Sedum","Crassulaceae"
"Sedum candollei","Sedum","Crassulaceae"
"Sedum cepaea","Sedum","Crassulaceae"
"Sedum dasyphyllum","Sedum","Crassulaceae"
"Sedum dendroideum","Sedum","Crassulaceae"
"Petrosedum forsterianum","Petrosedum","Crassulaceae"
"Sedum fragrans","Sedum","Crassulaceae"
"Sedum hirsutum","Sedum","Crassulaceae"
"Sedum litoreum","Sedum","Crassulaceae"
"Sedum monregalense","Sedum","Crassulaceae"
"Petrosedum montanum","Petrosedum","Crassulaceae"
"Sedum multiceps","Sedum","Crassulaceae"
"Sedum nevadense","Sedum","Crassulaceae"
"Petrosedum ochroleucum","Petrosedum","Crassulaceae"
"Sedum pentandrum","Sedum","Crassulaceae"
"Sedum rubens","Sedum","Crassulaceae"
"Petrosedum rupestre","Petrosedum","Crassulaceae"
"Sedum sarmentosum","Sedum","Crassulaceae"
"Petrosedum sediforme","Petrosedum","Crassulaceae"
"Sedum sexangulare","Sedum","Crassulaceae"
"Sedum villosum","Sedum","Crassulaceae"
"Selaginella denticulata","Selaginella","Selaginellaceae"
"Selaginella helvetica","Selaginella","Selaginellaceae"
"Selaginella kraussiana","Selaginella","Selaginellaceae"
"Selaginella selaginoides","Selaginella","Selaginellaceae"
"Selinum broteri","Selinum","Apiaceae"
"Selinum carvifolia","Selinum","Apiaceae"
"Sempervivum guillemotii","Sempervivum","Crassulaceae"
"Sempervivum arachnoideum","Sempervivum","Crassulaceae"
"Sempervivum calcareum","Sempervivum","Crassulaceae"
"Sempervivum x piliferum","Sempervivum","Crassulaceae"
"Jovibarba globifera","Jovibarba","Crassulaceae"
"Sempervivum montanum","Sempervivum","Crassulaceae"
"Sempervivum tectorum","Sempervivum","Crassulaceae"
"Senecio angulatus","Senecio","Asteraceae"
"Senecio bayonnensis","Senecio","Asteraceae"
"Senecio cacaliaster","Senecio","Asteraceae"
"Senecio deltoideus","Senecio","Asteraceae"
"Senecio doria","Senecio","Asteraceae"
"Senecio doronicum","Senecio","Asteraceae"
"Senecio gallicus","Senecio","Asteraceae"
"Senecio gerardi","Senecio","Asteraceae"
"Senecio glastifolius","Senecio","Asteraceae"
"Senecio glaucus","Senecio","Asteraceae"
"Senecio hercynicus","Senecio","Asteraceae"
"Senecio inaequidens","Senecio","Asteraceae"
"Senecio leucanthemifolius","Senecio","Asteraceae"
"Senecio lividus","Senecio","Asteraceae"
"Senecio ovatus","Senecio","Asteraceae"
"Senecio pterophorus","Senecio","Asteraceae"
"Senecio pyrenaicus","Senecio","Asteraceae"
"Senecio rosinae","Senecio","Asteraceae"
"Senecio ruthenensis","Senecio","Asteraceae"
"Senecio sarracenicus","Senecio","Asteraceae"
"Senecio serpentinicola","Senecio","Asteraceae"
"Senecio squalidus","Senecio","Asteraceae"
"Senecio sylvaticus","Senecio","Asteraceae"
"Senecio transiens","Senecio","Asteraceae"
"Senecio vernalis","Senecio","Asteraceae"
"Senecio viscosus","Senecio","Asteraceae"
"Senecio vulgaris","Senecio","Asteraceae"
"Senna obtusifolia","Senna","Fabaceae"
"Sequoiadendron giganteum","Sequoiadendron","Cupressaceae"
"Sequoia sempervirens","Sequoia","Cupressaceae"
"Serapias cordigera","Serapias","Orchidaceae"
"Serapias lingua","Serapias","Orchidaceae"
"Serapias neglecta","Serapias","Orchidaceae"
"Serapias nurrica","Serapias","Orchidaceae"
"Serapias olbia","Serapias","Orchidaceae"
"Serapias parviflora","Serapias","Orchidaceae"
"Serapias strictiflora","Serapias","Orchidaceae"
"Serapias vomeracea","Serapias","Orchidaceae"
"Serratula tinctoria","Serratula","Asteraceae"
"Sesamoides purpurascens","Sesamoides","Resedaceae"
"Sesamoides pygmaea","Sesamoides","Resedaceae"
"Sesamoides spathulifolia","Sesamoides","Resedaceae"
"Sesbania punicea","Sesbania","Fabaceae"
"Seseli annuum","Seseli","Apiaceae"
"Seseli djianeae","Seseli","Apiaceae"
"Seseli galloprovinciale","Seseli","Apiaceae"
"Seseli longifolium","Seseli","Apiaceae"
"Seseli montanum","Seseli","Apiaceae"
"Seseli praecox","Seseli","Apiaceae"
"Seseli tortuosum","Seseli","Apiaceae"
"Sesleria argentea","Sesleria","Poaceae"
"Sesleria caerulea","Sesleria","Poaceae"
"Sesleria insularis","Sesleria","Poaceae"
"Sesleria ovata","Sesleria","Poaceae"
"Setaria adhaerens","Setaria","Poaceae"
"Setaria faberi","Setaria","Poaceae"
"Setaria italica","Setaria","Poaceae"
"Setaria parviflora","Setaria","Poaceae"
"Setaria pumila","Setaria","Poaceae"
"Setaria verticillata","Setaria","Poaceae"
"Sherardia arvensis","Sherardia","Rubiaceae"
"Shibataea kumasaca","Shibataea","Poaceae"
"Sibbaldia procumbens","Sibbaldia","Rosaceae"
"Sibthorpia europaea","Sibthorpia","Plantaginaceae"
"Sicyos angulatus","Sicyos","Cucurbitaceae"
"Sideritis endressii","Sideritis","Lamiaceae"
"Sideritis fruticulosa","Sideritis","Lamiaceae"
"Sideritis hirsuta","Sideritis","Lamiaceae"
"Sideritis hyssopifolia","Sideritis","Lamiaceae"
"Sideritis littoralis","Sideritis","Lamiaceae"
"Sideritis montana","Sideritis","Lamiaceae"
"Sideritis provincialis","Sideritis","Lamiaceae"
"Sideritis romana","Sideritis","Lamiaceae"
"Sideritis vulgaris","Sideritis","Lamiaceae"
"Sigesbeckia serrata","Sigesbeckia","Asteraceae"
"Silaum silaus","Silaum","Apiaceae"
"Silene acaulis","Silene","Caryophyllaceae"
"Silene apetala","Silene","Caryophyllaceae"
"Silene baccifera","Silene","Caryophyllaceae"
"Silene bellidifolia","Silene","Caryophyllaceae"
"Silene borderei","Silene","Caryophyllaceae"
"Silene campanula","Silene","Caryophyllaceae"
"Silene ciliata","Silene","Caryophyllaceae"
"Silene colorata","Silene","Caryophyllaceae"
"Silene conica","Silene","Caryophyllaceae"
"Silene conoidea","Silene","Caryophyllaceae"
"Silene cordifolia","Silene","Caryophyllaceae"
"Silene cretica","Silene","Caryophyllaceae"
"Silene dichotoma","Silene","Caryophyllaceae"
"Silene dioica","Silene","Caryophyllaceae"
"Silene disticha","Silene","Caryophyllaceae"
"Silene fuscata","Silene","Caryophyllaceae"
"Silene gallica","Silene","Caryophyllaceae"
"Silene inaperta","Silene","Caryophyllaceae"
"Silene italica","Silene","Caryophyllaceae"
"Silene latifolia","Silene","Caryophyllaceae"
"Silene muscipula","Silene","Caryophyllaceae"
"Silene mutabilis","Silene","Caryophyllaceae"
"Silene nemoralis","Silene","Caryophyllaceae"
"Silene nicaeensis","Silene","Caryophyllaceae"
"Silene noctiflora","Silene","Caryophyllaceae"
"Silene nocturna","Silene","Caryophyllaceae"
"Silene nodulosa","Silene","Caryophyllaceae"
"Silene nutans","Silene","Caryophyllaceae"
"Silene otites","Silene","Caryophyllaceae"
"Silene paradoxa","Silene","Caryophyllaceae"
"Silene pendula","Silene","Caryophyllaceae"
"Silene petrarchae","Silene","Caryophyllaceae"
"Silene portensis","Silene","Caryophyllaceae"
"Silene requienii","Silene","Caryophyllaceae"
"Silene saxifraga","Silene","Caryophyllaceae"
"Silene sedoides","Silene","Caryophyllaceae"
"Silene sericea","Silene","Caryophyllaceae"
"Silene succulenta","Silene","Caryophyllaceae"
"Silene vallesia","Silene","Caryophyllaceae"
"Silene velutina","Silene","Caryophyllaceae"
"Silene viridiflora","Silene","Caryophyllaceae"
"Silene vulgaris","Silene","Caryophyllaceae"
"Silybum marianum","Silybum","Asteraceae"
"Simethis mattiazzii","Simethis","Asphodelaceae"
"Sinapis alba","Sinapis","Brassicaceae"
"Sinapis arvensis","Sinapis","Brassicaceae"
"Sinapis pubescens","Sinapis","Brassicaceae"
"Sison amomum","Sison","Apiaceae"
"Sison segetum","Sison","Apiaceae"
"Sisymbrella aspera","Sisymbrella","Brassicaceae"
"Sisymbrium altissimum","Sisymbrium","Brassicaceae"
"Sisymbrium austriacum","Sisymbrium","Brassicaceae"
"Sisymbrium erysimoides","Sisymbrium","Brassicaceae"
"Sisymbrium irio","Sisymbrium","Brassicaceae"
"Sisymbrium loeselii","Sisymbrium","Brassicaceae"
"Sisymbrium officinale","Sisymbrium","Brassicaceae"
"Sisymbrium orientale","Sisymbrium","Brassicaceae"
"Sisymbrium polyceratium","Sisymbrium","Brassicaceae"
"Sisymbrium runcinatum","Sisymbrium","Brassicaceae"
"Sisymbrium strictissimum","Sisymbrium","Brassicaceae"
"Sisymbrium volgense","Sisymbrium","Brassicaceae"
"Sisyrinchium angustifolium","Sisyrinchium","Iridaceae"
"Sisyrinchium montanum","Sisyrinchium","Iridaceae"
"Sisyrinchium rosulatum","Sisyrinchium","Iridaceae"
"Sium latifolium","Sium","Apiaceae"
"Sium sisarum","Sium","Apiaceae"
"Smilax aspera","Smilax","Smilacaceae"
"Smyrnium olusatrum","Smyrnium","Apiaceae"
"Smyrnium perfoliatum","Smyrnium","Apiaceae"
"Solanum bonariense","Solanum","Solanaceae"
"Solanum chenopodioides","Solanum","Solanaceae"
"Solanum dulcamara","Solanum","Solanaceae"
"Solanum elaeagnifolium","Solanum","Solanaceae"
"Solanum laciniatum","Solanum","Solanaceae"
"Solanum linnaeanum","Solanum","Solanaceae"
"Solanum lycopersicum","Solanum","Solanaceae"
"Solanum nigrum","Solanum","Solanaceae"
"Solanum nitidibaccatum","Solanum","Solanaceae"
"Solanum pseudocapsicum","Solanum","Solanaceae"
"Solanum rostratum","Solanum","Solanaceae"
"Solanum sarrachoides","Solanum","Solanaceae"
"Solanum tuberosum","Solanum","Solanaceae"
"Solanum villosum","Solanum","Solanaceae"
"Soldanella alpina","Soldanella","Primulaceae"
"Soldanella villosa","Soldanella","Primulaceae"
"Soleirolia soleirolii","Soleirolia","Urticaceae"
"Solenopsis corsica","Solenopsis","Campanulaceae"
"Solenopsis laurentia","Solenopsis","Campanulaceae"
"Solidago canadensis","Solidago","Asteraceae"
"Solidago gigantea","Solidago","Asteraceae"
"Solidago virgaurea","Solidago","Asteraceae"
"Soliva sessilis","Soliva","Asteraceae"
"Sonchus aquatilis","Sonchus","Asteraceae"
"Sonchus arvensis","Sonchus","Asteraceae"
"Sonchus asper","Sonchus","Asteraceae"
"Sonchus bulbosus","Sonchus","Asteraceae"
"Sonchus maritimus","Sonchus","Asteraceae"
"Sonchus oleraceus","Sonchus","Asteraceae"
"Sonchus palustris","Sonchus","Asteraceae"
"Sonchus tenerrimus","Sonchus","Asteraceae"
"Styphnolobium japonicum","Styphnolobium","Fabaceae"
"Sorbaria sorbifolia","Sorbaria","Rosaceae"
"Sorbaria tomentosa","Sorbaria","Rosaceae"
"Aria edulis","Aria","Rosaceae"
"Sorbus aucuparia","Sorbus","Rosaceae"
"Chamaemespilus alpina","Chamaemespilus","Rosaceae"
"Cormus domestica","Cormus","Rosaceae"
"Borkhausenia intermedia","Borkhausenia","Rosaceae"
"Karpatiosorbus latifolia","Karpatiosorbus","Rosaceae"
"Hedlundia legrei","Hedlundia","Rosaceae"
"Hedlundia mougeotii","Hedlundia","Rosaceae"
"Karpatiosorbus remensis","Karpatiosorbus","Rosaceae"
"Torminalis glaberrima","Torminalis","Rosaceae"
"Sorghum bicolor","Sorghum","Poaceae"
"Sorghum halepense","Sorghum","Poaceae"
"Sparganium angustifolium","Sparganium","Typhaceae"
"Sparganium emersum","Sparganium","Typhaceae"
"Sparganium erectum","Sparganium","Typhaceae"
"Sparganium microcarpum","Sparganium","Typhaceae"
"Sparganium natans","Sparganium","Typhaceae"
"Sparganium neglectum","Sparganium","Typhaceae"
"Sparganium oocarpum","Sparganium","Typhaceae"
"Sporobolus alterniflorus","Sporobolus","Poaceae"
"Sporobolus anglicus","Sporobolus","Poaceae"
"Sporobolus maritimus","Sporobolus","Poaceae"
"Sporobolus pumilus","Sporobolus","Poaceae"
"Sporobolus michauxianus","Sporobolus","Poaceae"
"Spartium junceum","Spartium","Fabaceae"
"Spergula arvensis","Spergula","Caryophyllaceae"
"Spergularia bocconei","Spergularia","Caryophyllaceae"
"Spergularia diandra","Spergularia","Caryophyllaceae"
"Spergularia kurkae","Spergularia","Caryophyllaceae"
"Spergularia heldreichii","Spergularia","Caryophyllaceae"
"Spergularia macrorrhiza","Spergularia","Caryophyllaceae"
"Spergularia marina","Spergularia","Caryophyllaceae"
"Spergularia media","Spergularia","Caryophyllaceae"
"Spergula morisonii","Spergula","Caryophyllaceae"
"Spergularia nicaeensis","Spergularia","Caryophyllaceae"
"Spergula pentandra","Spergula","Caryophyllaceae"
"Spergularia rubra","Spergularia","Caryophyllaceae"
"Spergularia rupicola","Spergularia","Caryophyllaceae"
"Spergularia segetalis","Spergularia","Caryophyllaceae"
"Spergularia tangerina","Spergularia","Caryophyllaceae"
"Sphenopus divaricatus","Sphenopus","Poaceae"
"Spinacia oleracea","Spinacia","Amaranthaceae"
"Spiraea alba","Spiraea","Rosaceae"
"Spiraea chamaedryfolia","Spiraea","Rosaceae"
"Spiraea douglasii","Spiraea","Rosaceae"
"Spiraea hypericifolia","Spiraea","Rosaceae"
"Spiraea japonica","Spiraea","Rosaceae"
"Spiraea salicifolia","Spiraea","Rosaceae"
"Spiranthes aestivalis","Spiranthes","Orchidaceae"
"Spiranthes spiralis","Spiranthes","Orchidaceae"
"Spirobassia hirsuta","Spirobassia","Amaranthaceae"
"Spirodela polyrhiza","Spirodela","Araceae"
"Sporobolus cryptandrus","Sporobolus","Poaceae"
"Sporobolus indicus","Sporobolus","Poaceae"
"Sporobolus neglectus","Sporobolus","Poaceae"
"Sporobolus pungens","Sporobolus","Poaceae"
"Sporobolus vaginiflorus","Sporobolus","Poaceae"
"Stachys affinis","Stachys","Lamiaceae"
"Stachys alpina","Stachys","Lamiaceae"
"Stachys annua","Stachys","Lamiaceae"
"Stachys arvensis","Stachys","Lamiaceae"
"Stachys brachyclada","Stachys","Lamiaceae"
"Stachys byzantina","Stachys","Lamiaceae"
"Stachys corsica","Stachys","Lamiaceae"
"Stachys germanica","Stachys","Lamiaceae"
"Stachys glutinosa","Stachys","Lamiaceae"
"Stachys heraclea","Stachys","Lamiaceae"
"Stachys maritima","Stachys","Lamiaceae"
"Stachys marrubiifolia","Stachys","Lamiaceae"
"Stachys ocymastrum","Stachys","Lamiaceae"
"Stachys palustris","Stachys","Lamiaceae"
"Stachys recta","Stachys","Lamiaceae"
"Stachys salisii","Stachys","Lamiaceae"
"Stachys sylvatica","Stachys","Lamiaceae"
"Staehelina dubia","Staehelina","Asteraceae"
"Staphisagria macrosperma","Staphisagria","Ranunculaceae"
"Staphisagria picta","Staphisagria","Ranunculaceae"
"Staphylea pinnata","Staphylea","Staphyleaceae"
"Leptogramma pozoi","Leptogramma","Thelypteridaceae"
"Stellaria alsine","Stellaria","Caryophyllaceae"
"Stellaria graminea","Stellaria","Caryophyllaceae"
"Rabelera holostea","Rabelera","Caryophyllaceae"
"Stellaria media","Stellaria","Caryophyllaceae"
"Stellaria neglecta","Stellaria","Caryophyllaceae"
"Stellaria nemorum","Stellaria","Caryophyllaceae"
"Stellaria pallida","Stellaria","Caryophyllaceae"
"Stellaria palustris","Stellaria","Caryophyllaceae"
"Stenotaphrum secundatum","Stenotaphrum","Poaceae"
"Sternbergia colchiciflora","Sternbergia","Amaryllidaceae"
"Sternbergia lutea","Sternbergia","Amaryllidaceae"
"Sternbergia sicula","Sternbergia","Amaryllidaceae"
"Stipa capillata","Stipa","Poaceae"
"Stipa eriocaulis","Stipa","Poaceae"
"Stipa gallica","Stipa","Poaceae"
"Stipa atlantica","Stipa","Poaceae"
"Stipa offneri","Stipa","Poaceae"
"Stipa pennata","Stipa","Poaceae"
"Stipellula capensis","Stipellula","Poaceae"
"Stipellula parviflora","Stipellula","Poaceae"
"Stoibrax dichotomum","Stoibrax","Apiaceae"
"Stratiotes aloides","Stratiotes","Hydrocharitaceae"
"Streptopus amplexifolius","Streptopus","Liliaceae"
"Stuckenia filiformis","Stuckenia","Potamogetonaceae"
"Stuckenia pectinata","Stuckenia","Potamogetonaceae"
"Styrax officinalis","Styrax","Styracaceae"
"Suaeda maritima","Suaeda","Amaranthaceae"
"Suaeda splendens","Suaeda","Amaranthaceae"
"Suaeda vera","Suaeda","Amaranthaceae"
"Subularia aquatica","Subularia","Brassicaceae"
"Succisa pratensis","Succisa","Caprifoliaceae"
"Succisella inflexa","Succisella","Caprifoliaceae"
"Succowia balearica","Succowia","Brassicaceae"
"Swertia perennis","Swertia","Gentianaceae"
"Symphoricarpos albus","Symphoricarpos","Caprifoliaceae"
"Symphyotrichum lanceolatum","Symphyotrichum","Asteraceae"
"Symphyotrichum novae-angliae","Symphyotrichum","Asteraceae"
"Symphyotrichum novi-belgii","Symphyotrichum","Asteraceae"
"Symphyotrichum pilosum","Symphyotrichum","Asteraceae"
"Symphyotrichum squamatum","Symphyotrichum","Asteraceae"
"Symphytum asperum","Symphytum","Boraginaceae"
"Symphytum bulbosum","Symphytum","Boraginaceae"
"Symphytum caucasicum","Symphytum","Boraginaceae"
"Symphytum grandiflorum","Symphytum","Boraginaceae"
"Symphytum officinale","Symphytum","Boraginaceae"
"Symphytum orientale","Symphytum","Boraginaceae"
"Symphytum tuberosum","Symphytum","Boraginaceae"
"Syringa vulgaris","Syringa","Oleaceae"
"Taeniatherum caput-medusae","Taeniatherum","Poaceae"
"Tagetes minuta","Tagetes","Asteraceae"
"Tagetes patula","Tagetes","Asteraceae"
"Tamarix africana","Tamarix","Tamaricaceae"
"Tamarix gallica","Tamarix","Tamaricaceae"
"Tamarix parviflora","Tamarix","Tamaricaceae"
"Tamarix ramosissima","Tamarix","Tamaricaceae"
"Tanacetum audibertii","Tanacetum","Asteraceae"
"Tanacetum balsamita","Tanacetum","Asteraceae"
"Tanacetum cinerariifolium","Tanacetum","Asteraceae"
"Tanacetum corymbosum","Tanacetum","Asteraceae"
"Tanacetum macrophyllum","Tanacetum","Asteraceae"
"Tanacetum parthenium","Tanacetum","Asteraceae"
"Tanacetum vulgare","Tanacetum","Asteraceae"
"Taraxacum adamii","Taraxacum","Asteraceae"
"Taraxacum aemulans","Taraxacum","Asteraceae"
"Taraxacum aequilobiforme","Taraxacum","Asteraceae"
"Taraxacum aestivum","Taraxacum","Asteraceae"
"Taraxacum aginnense","Taraxacum","Asteraceae"
"Taraxacum alatum","Taraxacum","Asteraceae"
"Taraxacum albulense","Taraxacum","Asteraceae"
"Taraxacum alienum","Taraxacum","Asteraceae"
"Taraxacum amansii","Taraxacum","Asteraceae"
"Taraxacum anglicum","Taraxacum","Asteraceae"
"Taraxacum aquilonare","Taraxacum","Asteraceae"
"Taraxacum aquitanum","Taraxacum","Asteraceae"
"Taraxacum aragonicum","Taraxacum","Asteraceae"
"Taraxacum argillicola","Taraxacum","Asteraceae"
"Taraxacum atactum","Taraxacum","Asteraceae"
"Taraxacum atrolivaceum","Taraxacum","Asteraceae"
